7924 85  86
7914 34  85
7906 34  86
7488 85  90
7296 34  90
7288 86  90
6812 36  85
6620 36  86
6602 34  36
6464 36  90
5612 39  85
5420 39  86
5402 34  39
5176 59  85
4984 34  59
4984 59  86
4976 39  90
4936 63  85
4748 24  85
4744 34  63
4744 63  86
4736 59  90
4608 34  53
4608 53  85
4608 53  86
4608 53  90
4556 36  39
4548 24  86
4538 24  34
4496 63  90
4464 34  67
4464 67  85
4464 67  86
4424 36  59
4408 24  90
4384 34  76
4384 76  85
4384 76  86
4208 2   85
4184 36  63
4156 59  63
4040 85  110
4016 2   34
4016 2   86
3976 67  90
3968 85  93
3952 90  110
3944 34  110
3944 86  110
3920 2   39
3916 1   85
3908 1   86
3898 1   34
3896 76  90
3848 36  110
3808 1   90
3804 1   36
3776 34  56
3776 34  93
3776 56  85
3776 56  86
3776 86  93
3744 36  53
3680 2   90
3664 59  93
3656 3   85
3656 56  90
3640 2   59
3608 3   86
3602 3   34
3592 39  59
3560 90  93
3540 24  36
3528 28  85
3528 36  56
3520 67  76
3516 52  85
3480 36  93
3472 63  93
3464 3   90
3432 39  56
3408 2   28
3400 2   63
3400 39  63
3376 23  34
3376 23  85
3376 23  86
3336 28  34
3328 28  86
3320 39  93
3316 52  86
3306 34  52
3304 59  67
3292 1   24
3288 28  39
3280 59  76
3272 23  36
3244 10  85
3236 10  86
3232 23  59
3226 10  34
3216 53  59
3216 53  63
3208 10  36
3184 23  93
3160 36  67
3152 2   93
3152 6   85
3148 85  116
3148 86  116
3130 34  116
3128 36  76
3104 90  116
3102 6   86
3098 6   34
3080 23  90
3068 36  52
3064 63  67
3052 10  90
3040 23  63
3040 63  76
3020 6   90
3016 3   36
3016 23  39
3008 2   36
2956 36  116
2928 28  90
2920 28  59
2880 52  90
2872 28  63
2848 1   110
2832 53  110
2828 39  52
2824 39  67
2824 39  76
2784 39  53
2776 34  94
2776 85  94
2768 86  94
2752 2   23
2752 2   67
2720 24  110
2704 2   76
2700 6   36
2632 3   39
2608 67  93
2608 76  93
2596 24  39
2592 2   53
2592 53  67
2592 53  76
2584 24  94
2584 90  94
2556 9   85
2512 34  38
2512 38  85
2512 38  90
2504 38  86
2496 24  53
2496 28  53
2496 53  94
2480 58  85
2456 56  116
2432 28  93
2432 56  93
2408 28  36
2400 53  116
2400 59  110
2388 85  102
2380 86  102
2376 3   59
2376 63  110
2372 24  61
2372 61  85
2372 61  86
2370 34  102
2364 9   34
2364 9   86
2354 34  61
2352 59  116
2336 24  67
2320 11  34
2320 11  85
2320 11  86
2316 6   39
2304 24  66
2304 34  66
2304 63  116
2304 66  85
2304 66  86
2296 56  59
2296 56  63
2288 24  58
2288 34  58
2288 58  86
2284 13  85
2256 3   63
2256 9   90
2256 24  76
2256 36  38
2252 24  52
2240 58  102
2228 1   61
2228 36  61
2224 1   38
2224 23  56
2204 39  116
2200 13  90
2200 38  110
2192 36  58
2192 61  90
2176 11  90
2160 1   29
2160 1   66
2160 29  34
2160 29  36
2160 29  85
2160 29  86
2160 29  90
2160 36  66
2160 66  90
2156 24  102
2152 10  39
2152 24  38
2148 34  114
2148 85  114
2148 86  114
2128 23  67
2128 23  76
2112 23  53
2112 53  56
2112 53  93
2092 13  86
2086 13  34
2084 10  59
2064 28  67
2048 3   67
2040 3   24
2040 11  39
2036 36  102
2032 23  28
2024 3   76
2024 93  116
2020 39  114
2016 1   53
2016 3   53
2016 6   53
2008 94  102
2004 13  36
2000 58  90
1984 28  76
1984 56  110
1968 85  99
1968 90  99
1960 52  59
1952 36  94
1952 58  94
1948 2   3
1944 24  59
1932 3   56
1932 9   36
1924 3   93
1920 2   56
1920 34  99
1920 86  99
1918 6   59
1904 28  56
1904 110 116
1900 1   52
1896 24  63
1880 2   116
1880 58  110
1876 9   67
1876 9   76
1872 24  29
1872 34  69
1872 34  77
1872 34  98
1872 36  69
1872 36  77
1872 52  67
1872 69  85
1872 69  86
1872 69  90
1872 77  85
1872 77  86
1872 77  90
1872 85  98
1872 86  98
1872 90  98
1856 1   56
1856 52  93
1856 67  110
1844 10  63
1840 16  34
1840 16  85
1840 16  86
1840 39  110
1824 23  116
1824 38  53
1824 38  102
1824 90  102
1824 90  114
1824 102 110
1816 28  116
1816 38  94
1812 1   102
1808 38  58
1808 67  94
1808 94  110
1800 61  66
1798 6   63
1792 10  110
1792 52  76
1778 6   56
1776 59  99
1776 76  110
1768 1   94
1760 1   58
1754 6   24
1744 2   99
1740 1   10
1728 1   48
1728 10  53
1728 16  39
1728 24  48
1728 34  48
1728 36  48
1728 38  48
1728 48  53
1728 48  58
1728 48  85
1728 48  86
1728 48  90
1728 48  94
1728 48  102
1728 48  110
1728 53  58
1728 53  102
1728 76  94
1720 52  63
1716 67  114
1716 76  114
1712 1   67
1712 34  111
1712 36  111
1712 85  111
1712 86  111
1708 1   3
1708 9   59
1708 9   63
1696 3   110
1696 13  53
1692 1   39
1688 9   24
1688 16  90
1680 1   76
1680 11  56
1680 59  98
1680 63  99
1680 90  111
1672 11  36
1668 13  59
1664 52  56
1652 10  24
1648 2   98
1648 39  99
1640 3   52
1640 38  67
1640 39  111
1636 6   110
1632 34  101
1632 36  101
1632 85  101
1632 86  101
1632 90  101
1616 2   52
1616 3   23
1600 10  56
1600 39  98
1596 2   6
1592 10  23
1584 1   101
1584 9   53
1584 29  39
1584 29  56
1584 29  61
1584 29  66
1584 29  101
1584 38  59
1584 39  101
1584 56  101
1584 63  98
1584 93  99
1572 13  63
1560 2   11
1560 38  76
1560 93  110
1558 3   116
1556 1   6
1556 3   28
1552 24  56
1544 56  111
1544 61  110
1542 6   67
1536 1   59
1536 1   63
1536 38  63
1528 11  28
1518 6   76
1516 10  52
1512 66  110
1508 52  61
1504 2   10
1504 10  93
1500 6   28
1500 17  36
1500 17  85
1500 17  86
1496 24  28
1494 17  34
1492 34  43
1492 43  85
1492 43  86
1488 10  67
1488 24  114
1488 36  99
1488 93  98
1476 39  61
1472 10  116
1464 59  94
1464 63  94
1456 2   24
1448 10  76
1440 17  53
1440 17  90
1440 36  98
1440 39  66
1440 52  66
1440 53  69
1440 53  77
1440 58  59
1428 13  24
1422 3   10
1420 9   39
1418 6   93
1412 1   9
1408 2   114
1408 11  24
1408 16  36
1398 6   23
1396 43  90
1392 16  56
1392 23  99
1392 58  63
1380 11  59
1380 11  63
1380 13  110
1368 29  110
1368 67  102
1368 69  110
1368 77  110
1366 6   116
1344 9   94
1344 23  98
1344 24  101
1344 28  99
1344 52  101
1344 67  99
1344 76  99
1328 58  67
1324 24  116
1320 23  110
1315 6   10
1312 34  37
1312 37  85
1312 39  43
1312 56  67
1308 9   110
1304 37  67
1304 37  86
1296 1   69
1296 1   77
1296 1   95
1296 9   58
1296 11  53
1296 24  69
1296 24  77
1296 24  95
1296 28  98
1296 29  52
1296 29  95
1296 34  95
1296 36  95
1296 39  95
1296 52  95
1296 53  99
1296 56  61
1296 56  66
1296 56  95
1296 58  76
1296 61  95
1296 61  101
1296 66  95
1296 66  101
1296 67  98
1296 76  98
1296 85  95
1296 86  95
1296 90  95
1296 95  101
1288 76  102
1268 1   116
1264 2   13
1264 23  52
1264 56  76
1264 59  102
1264 63  102
1256 37  76
1248 11  93
1248 34  107
1248 53  98
1248 67  107
1248 76  107
1248 85  107
1248 86  107
1240 11  116
1236 52  114
1232 67  116
1224 13  67
1212 9   93
1208 13  94
1208 24  37
1208 52  110
1204 13  39
1202 44  85
1200 2   37
1200 28  110
1200 76  116
1198 44  86
1193 34  44
1192 2   110
1184 13  28
1184 13  76
1160 3   11
1160 16  24
1152 17  110
1148 36  43
1144 2   9
1144 34  117
1144 36  117
1144 85  117
1144 86  117
1136 6   52
1136 9   38
1132 10  61
1128 9   102
1120 10  28
1120 13  58
1120 28  37
1120 34  54
1120 54  67
1120 54  76
1120 54  85
1120 54  86
1120 54  90
1116 59  114
1112 111 116
1104 90  107
1104 90  117
1096 11  67
1092 10  38
1092 28  114
1092 36  114
1080 10  66
1080 13  38
1076 61  102
1074 3   9
1072 10  102
1072 14  34
1072 14  85
1072 14  90
1064 2   111
1064 13  93
1064 14  86
1056 11  76
1056 17  59
1056 17  63
1056 37  39
1056 37  114
1050 6   94
1048 3   94
1048 28  94
1048 41  85
1048 41  90
1048 59  111
1040 15  34
1040 15  67
1040 15  76
1040 15  85
1040 15  86
1040 43  56
1040 58  61
1040 93  111
1032 2   16
1032 16  28
1032 28  52
1024 3   38
1024 10  58
1024 11  52
1024 14  52
1024 37  90
1024 39  107
1020 1   13
1020 63  114
1016 6   11
1016 14  36
1016 24  117
1014 36  44
1012 3   99
1012 44  59
1008 1   117
1008 2   94
1008 3   114
1008 10  94
1008 39  69
1008 39  77
1008 56  69
1008 56  77
1008 56  99
1008 58  66
1008 59  69
1008 59  77
1008 63  69
1008 63  77
1008 66  102
1008 69  116
1008 77  116
1008 99  116
1004 3   61
1002 39  44
1000 14  39
992  44  93
988  13  102
984  3   29
984  3   66
984  6   29
984  34  41
984  41  86
976  3   98
976  23  44
976  23  111
972  9   52
968  28  111
960  39  94
960  56  98
960  98  116
956  2   44
956  6   61
952  41  59
948  10  13
948  93  114
944  16  59
944  16  63
944  38  116
940  11  110
936  2   41
936  6   66
936  10  29
936  10  69
936  10  77
936  16  93
936  44  63
928  16  53
928  63  111
924  17  102
920  3   13
920  3   16
920  6   13
920  44  90
912  11  23
912  16  52
912  17  58
912  17  94
912  53  114
912  59  107
900  13  116
896  38  61
896  54  114
896  61  94
892  10  111
892  11  16
888  41  63
882  9   114
880  2   107
880  39  41
876  1   17
876  9   28
876  17  24
876  17  116
872  15  90
868  9   23
868  43  59
864  2   54
864  9   48
864  10  48
864  13  48
864  17  38
864  17  48
864  24  54
864  28  54
864  29  53
864  37  53
864  38  66
864  38  69
864  38  77
864  48  59
864  48  61
864  48  63
864  48  66
864  48  67
864  48  69
864  48  76
864  48  77
864  53  61
864  53  66
864  53  111
864  58  69
864  58  77
864  61  69
864  61  77
864  66  69
864  66  77
864  66  94
864  69  94
864  69  102
864  77  94
864  77  102
864  93  107
856  13  23
856  16  116
856  41  93
856  43  93
852  2   43
852  9   13
848  52  111
844  3   111
844  6   111
840  107 114
836  6   38
832  85  119
832  90  119
828  7   85
828  44  67
824  24  119
824  37  94
820  6   9
816  1   93
816  3   58
816  3   101
816  6   101
816  63  107
816  101 110
808  1   16
808  6   16
808  16  67
808  16  76
808  110 117
804  11  111
804  24  43
802  6   114
800  28  44
800  36  41
792  3   69
792  3   77
792  3   102
792  6   69
792  6   77
792  7   58
792  15  59
792  43  63
788  6   99
788  61  116
784  24  93
780  7   102
778  7   86
776  15  39
776  15  63
774  7   34
772  43  67
772  43  76
768  15  93
768  36  119
768  37  54
768  39  54
768  53  54
768  54  94
768  58  119
768  69  77
768  94  114
762  7   24
760  1   11
756  10  17
756  28  43
752  6   98
752  28  58
752  34  42
752  37  59
752  37  63
752  42  52
752  42  85
752  42  86
752  43  53
752  52  58
750  3   43
748  44  76
748  52  116
744  11  99
744  11  114
744  16  29
744  16  101
740  1   114
740  43  52
736  11  61
736  24  111
736  54  59
736  54  63
732  34  45
732  45  85
732  45  86
732  45  90
720  2   15
720  2   58
720  6   58
720  10  98
720  10  99
720  11  66
720  11  98
720  16  61
720  16  66
720  16  110
720  23  41
720  29  69
720  29  77
720  39  45
720  52  107
720  61  117
720  66  116
720  66  117
720  110 119
712  7   36
712  28  41
700  6   102
696  10  101
696  14  56
696  41  67
696  41  76
688  23  43
688  38  52
688  44  56
680  16  23
680  39  42
672  1   14
672  14  24
672  36  107
672  39  58
672  52  99
672  101 111
670  6   43
668  43  116
666  7   94
664  14  61
664  16  114
660  23  114
660  52  102
656  41  53
656  58  116
652  7   90
652  15  114
652  102 116
648  1   111
648  3   95
648  3   107
648  6   95
648  9   107
648  10  95
648  11  29
648  11  37
648  11  95
648  11  101
648  14  29
648  14  66
648  14  95
648  14  101
648  16  95
648  17  67
648  17  76
648  29  111
648  38  93
648  61  111
648  66  111
648  95  110
648  95  111
642  44  52
640  1   43
640  3   37
640  11  43
640  15  52
640  16  111
640  34  119
640  38  119
640  99  110
640  102 119
636  17  39
636  24  45
632  36  42
632  42  90
632  86  119
632  94  119
624  1   23
624  2   17
624  7   110
624  9   37
624  13  56
624  13  69
624  13  77
624  17  23
624  17  28
624  17  69
624  17  77
624  23  107
624  24  107
624  28  102
