6272 34 36 85  86  90
4784 34 39 85  86  90
4608 34 53 85  86  90
4544 34 59 85  86  90
4346 34 36 39  85  86
4304 34 63 85  86  90
4232 34 36 59  85  86
4208 24 34 85  86  90
4016 34 36 39  85  90
4016 34 36 39  86  90
4016 36 39 85  86  90
3992 34 36 63  85  86
3976 34 67 85  86  90
3964 34 59 63  85  86
3936 34 36 59  85  90
3936 34 36 59  86  90
3936 36 59 85  86  90
3896 34 76 85  86  90
3856 34 85 86  90  110
3800 1  34 85  86  90
3786 1  34 36  85  86
3752 34 36 85  86  110
3744 34 36 53  85  86
3744 34 36 53  85  90
3744 34 36 53  86  90
3744 36 53 85  86  90
3728 2  34 39  85  86
3696 1  34 36  85  90
3696 1  34 36  86  90
3696 1  36 85  86  90
3696 34 36 63  85  90
3696 34 36 63  86  90
3696 36 63 85  86  90
3664 34 36 85  90  110
3664 34 36 86  90  110
3664 36 85 86  90  110
3656 34 56 85  86  90
3596 34 59 63  85  90
3596 34 59 63  86  90
3596 59 63 85  86  90
3528 34 36 56  85  86
3520 34 67 76  85  86
3488 2  34 85  86  90
3488 34 36 59  63  85
3488 34 36 59  63  86
3488 36 59 63  85  86
3472 34 59 85  86  93
3448 2  34 59  85  86
3432 34 36 39  56  85
3432 34 36 39  56  86
3432 34 39 56  85  86
3432 36 39 56  85  86
3416 3  34 85  86  90
3408 34 36 56  85  90
3408 34 36 56  86  90
3408 36 56 85  86  90
3400 34 39 59  85  86
3384 36 59 63  85  90
3368 34 85 86  90  93
3330 24 34 36  85  86
3312 34 36 39  56  90
3312 34 39 56  85  90
3312 34 39 56  86  90
3312 36 39 56  85  90
3312 36 39 56  86  90
3312 39 56 85  86  90
3304 34 59 67  85  86
3296 24 34 36  85  90
3296 24 34 36  86  90
3296 24 36 85  86  90
3288 34 36 85  86  93
3280 34 59 76  85  86
3280 34 63 85  86  93
3272 23 34 36  85  86
3266 1  24 34  85  86
3256 1  24 34  85  90
3248 1  24 34  86  90
3248 1  24 85  86  90
3232 23 34 59  85  86
3224 34 59 85  90  93
3224 34 59 86  90  93
3224 59 85 86  90  93
3216 2  28 34  85  86
3216 34 53 59  85  86
3216 34 53 59  85  90
3216 34 53 59  86  90
3216 34 53 63  85  86
3216 34 53 63  85  90
3216 34 53 63  86  90
3216 36 59 85  90  93
3216 53 59 85  86  90
3216 53 63 85  86  90
3208 2  34 63  85  86
3208 34 39 63  85  86
3200 2  34 39  85  90
3200 2  34 39  86  90
3200 2  39 85  86  90
3192 34 36 59  63  90
3192 36 59 63  86  90
3190 10 34 36  85  86
3188 1  24 36  85  86
3184 2  34 39  59  85
3184 2  34 39  59  86
3184 2  39 59  85  86
3184 23 34 85  86  93
3170 1  24 34  36  85
3170 1  24 34  36  86
3168 34 36 85  90  93
3168 34 36 86  90  93
3168 36 85 86  90  93
3160 34 36 67  85  86
3152 1  24 34  36  90
3152 1  24 36  85  90
3152 1  24 36  86  90
3152 59 63 85  90  93
3136 34 59 63  85  93
3136 34 59 63  86  93
3136 59 63 85  86  93
3128 23 34 36  59  85
3128 23 34 36  59  86
3128 23 36 59  85  86
3128 34 36 59  85  93
3128 34 36 59  86  93
3128 34 36 76  85  86
3128 34 39 85  86  93
3128 36 59 85  86  93
3104 34 85 86  90  116
3096 28 34 39  85  86
3080 2  34 59  85  90
3080 2  34 59  86  90
3080 2  59 85  86  90
3080 23 34 36  85  93
3080 23 34 36  86  93
3080 23 34 85  86  90
3080 23 34 85  90  93
3080 23 34 86  90  93
3080 23 36 85  86  93
3080 23 85 86  90  93
3080 34 67 76  85  90
3080 34 67 76  86  90
3080 67 76 85  86  90
3064 34 63 67  85  86
3056 36 59 63  85  93
3044 10 34 85  86  90
3040 23 34 59  85  93
3040 23 34 59  86  93
3040 23 34 63  85  86
3040 23 59 85  86  93
3040 34 63 76  85  86
3032 34 63 85  90  93
3032 34 63 86  90  93
3032 63 85 86  90  93
3024 2  28 34  39  85
3024 2  28 34  39  86
3024 2  28 39  85  86
3024 34 36 59  90  93
3024 36 59 86  90  93
3024 36 63 85  90  93
3016 10 34 36  85  90
3016 10 34 36  86  90
3016 10 36 85  86  90
3016 23 34 36  39  85
3016 23 34 36  39  86
3016 23 34 39  85  86
3016 23 36 39  85  86
3008 2  39 59  85  90
2992 2  34 39  63  85
2992 2  34 39  63  86
2992 2  39 63  85  86
